Target Space,Representation,Transfer,First Exceed Idx,Average Exceed Idx,Odx,Macc/3
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,2,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,4,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,5,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,6,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,7,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,8,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,10,0.9397480355368719
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,34,0.9438100987010533
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,50,0.9438100987010533
nb101,adj_gin,True,"{0: 26, 1: 30, 2: 10}",22.0,140,0.9444889624913534
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,2,0.9086872339248657
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,4,0.924590461783939
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,5,0.924590461783939
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,6,0.924590461783939
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,7,0.931913283136156
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,8,0.931913283136156
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,10,0.9343839089075724
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,34,0.9475271569357977
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,50,0.9480947322315639
nb101,adj_gin,False,"{0: 12, 1: 23, 2: 16}",17.0,140,0.949752946694692
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,2,0.9154202275806004
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,4,0.927116718557146
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,5,0.9307447473208109
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,6,0.9307447473208109
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,7,0.9307447473208109
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,8,0.9346621235211691
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,10,0.9348513219091626
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,34,0.9414841532707214
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,50,0.9417735007074143
nb101,adj_gin_zcp,True,"{0: 136, 1: 7, 2: 116}",86.33333333333333,140,0.9425970448387994
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,2,0.8563924564255608
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,4,0.9310674799813166
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,5,0.937488873799642
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,6,0.9384682178497314
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,7,0.9384682178497314
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,8,0.9386796620157031
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,10,0.9386796620157031
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,34,0.9444110459751552
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,50,0.9456018606821696
nb101,adj_gin_zcp,False,"{0: 5, 1: 18, 2: 21}",14.666666666666666,140,0.9477163553237915
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,2,0.8877648711204529
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,4,0.9222199983066982
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,5,0.9374666081534491
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,6,0.9401820566919113
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,7,0.9401820566919113
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,8,0.9401820566919113
nb101,adj_gin_arch2vec,True,"{0: 4, 1: 12, 2: 5}",7.0,10,0.9401820566919113
